Date,Price,Note
2010-04-19,371500000 gp,
2010-04-20,375000000 gp,
2010-04-21,375000000 gp,
2010-04-22,375000000 gp,
2010-04-23,375000000 gp,
2010-04-24,375000000 gp,
2010-04-25,375000000 gp,
2010-04-26,375000000 gp,
2010-04-27,378200000 gp,
2010-04-28,378200000 gp,
2010-04-29,378200000 gp,
2010-04-30,378200000 gp,
2010-05-01,378200000 gp,
2010-05-02,378200000 gp,
2010-05-03,378200000 gp,
2010-05-04,381700000 gp,
2010-05-05,381700000 gp,
2010-05-06,381700000 gp,
2010-05-07,381700000 gp,
2010-05-08,384900000 gp,
2010-05-09,384900000 gp,
2010-05-10,384900000 gp,
2010-05-11,384900000 gp,
2010-05-12,384900000 gp,
2010-05-13,388400000 gp,
2010-05-14,388400000 gp,
2010-05-15,388400000 gp,
2010-05-16,388400000 gp,
2010-05-17,388400000 gp,
2010-05-18,388400000 gp,
2010-05-19,388400000 gp,
2010-05-20,391700000 gp,
2010-05-21,391700000 gp,
2010-05-22,391700000 gp,
2010-05-23,391700000 gp,
2010-05-24,395200000 gp,
2010-05-25,395200000 gp,
2010-05-26,395200000 gp,
2010-05-27,395200000 gp,
2010-05-28,398400000 gp,
2010-05-29,398400000 gp,
2010-05-30,398400000 gp,
2010-05-31,398400000 gp,
2010-06-01,398400000 gp,
2010-06-02,398400000 gp,
2010-06-03,402000000 gp,
2010-06-04,402000000 gp,
2010-06-05,402000000 gp,
2010-06-06,402000000 gp,
2010-06-07,402000000 gp,
2010-06-08,402000000 gp,
2010-06-09,402000000 gp,
2010-06-10,405600000 gp,
2010-06-11,405600000 gp,
2010-06-12,405600000 gp,
2010-06-13,405600000 gp,
2010-06-14,406200000 gp,
2010-06-15,406200000 gp,
2010-06-16,406200000 gp,
2010-06-17,406200000 gp,
2010-06-18,406200000 gp,
2010-06-19,407000000 gp,
2010-06-20,407000000 gp,
2010-06-21,407000000 gp,
2010-06-22,407000000 gp,
2010-06-23,407000000 gp,
2010-06-24,407000000 gp,
2010-06-25,410900000 gp,
2010-06-26,410900000 gp,
2010-06-27,410900000 gp,
2010-06-28,410900000 gp,
2010-06-29,414400000 gp,
2010-06-30,414400000 gp,
2010-07-01,414400000 gp,
2010-07-02,414400000 gp,
2010-07-03,414400000 gp,
2010-07-04,414400000 gp,
2010-07-05,414400000 gp,
2010-07-06,414400000 gp,
2010-07-07,414400000 gp,
2010-07-08,418300000 gp,
2010-07-09,418300000 gp,
2010-07-10,418300000 gp,
2010-07-11,418300000 gp,
2010-07-12,418300000 gp,
2010-07-13,418300000 gp,
2010-07-14,422200000 gp,
2010-07-15,422200000 gp,
2010-07-16,422200000 gp,
2010-07-17,422200000 gp,
2010-07-18,422200000 gp,
2010-07-19,422200000 gp,
2010-07-20,422200000 gp,
2010-07-21,425700000 gp,
2010-07-22,425700000 gp,
2010-07-23,425700000 gp,
